peak_inflation,mean_inflation,inflation_years_above_target,peak_temperature,years_above_2c,final_co2,min_co2,year_reach_350ppm,total_xcr_minted,final_xcr_supply,price_floor_ratio_min,cqe_utilization_peak,cqe_spend_total,cqe_spend_years,scenario,run,description
0.03,0.02458545430659504,0.79,1.8752556421426936,0.0,363.0531525816231,348.28096351559594,73.0,1452592467740.3035,1208589237172.629,1.0,1.0,76751557224880.19,0.58,baseline,0,Default parameters
0.03,0.024593793029280945,0.74,1.8658098740033253,0.0,358.64508780610197,348.8537753976517,69.0,1510666251084.917,1227605170588.13,1.0,1.0,82327132229396.62,0.6,baseline,1,Default parameters
0.03,0.025225542418648855,0.89,1.8647788627946995,0.0,350.45472488026184,348.4298488646776,76.0,1330375827809.7268,1080307581397.155,1.0,1.0,73066724145153.5,0.6,baseline,2,Default parameters
0.03211233367078879,0.02590719901442273,0.85,1.8862637315706785,0.0,371.48305608652487,349.6651595785809,75.0,1322650062238.5508,1077515010134.5155,1.0,1.0,74422851306597.22,0.59,baseline,3,Default parameters
0.03233510503723276,0.024956302570082158,0.81,1.8713612281603975,0.0,353.33969328278175,348.9460257828041,77.0,1107421721300.88,901395144322.5073,1.0,1.0,72439149232715.86,0.61,baseline,4,Default parameters
0.03,0.024953132446202092,0.83,1.8696356843768975,0.0,358.7313550546935,349.5781177044018,74.0,1437729395033.7515,1160622036626.3425,1.0,1.0,79212793032490.53,0.6,baseline,5,Default parameters
0.03280119557745575,0.025029074222731332,0.77,1.8786616335936652,0.0,367.38502153282576,349.3968803910799,71.0,1310880370127.9807,1022865752233.1328,1.0,1.0,76974439343290.66,0.55,baseline,6,Default parameters
0.03127124606089784,0.025782453046272878,0.86,1.8463799832410683,0.0,356.1972573924232,349.2775979898276,63.0,1917281634306.0608,1492754586842.0374,1.0,1.0,96359330250752.53,0.63,baseline,7,Default parameters
0.034886194091748125,0.02442165412026621,0.72,1.869411045532848,0.0,355.60497235021893,349.2446033913104,77.0,1383240924472.1155,1135714231855.643,1.0,1.0,76265671667569.39,0.57,baseline,8,Default parameters
0.03495834922578577,0.025314928287365417,0.84,1.883803022946768,0.0,373.64704043201715,347.89093278095015,71.0,1453684846135.899,1156231279071.5627,1.0,1.0,73498259037056.33,0.58,baseline,9,Default parameters
0.03,0.024556102996000147,0.83,1.8649230467670483,0.0,353.53151946754855,349.93287638936823,73.0,1386920064523.642,1125731283148.58,1.0,1.0,78071468909553.72,0.62,baseline,10,Default parameters
0.03,0.02487091677307867,0.84,1.889371289462373,0.0,374.3434344003117,347.10878234511745,75.0,1336994735133.7231,1070457954040.814,1.0,1.0,74977920345223.38,0.6,baseline,11,Default parameters
0.032107406620635257,0.025745494651888242,0.9,1.869275224989862,0.0,359.44197626029535,349.91487944774997,74.0,1377360760315.3599,1101619404226.3745,1.0,1.0,78053766530094.5,0.58,baseline,12,Default parameters
0.03494370241272166,0.02453672278858023,0.7,1.8838194465072449,0.0,369.448429821498,348.33693868494225,75.0,1303770503851.0564,1062953505906.2189,1.0,1.0,73841948221766.9,0.59,baseline,13,Default parameters
0.03153717512483827,0.025417992433322417,0.87,1.8642647489084598,0.0,351.3784270427212,348.3481568601683,75.0,1309033946859.0828,1044023632798.113,1.0,1.0,73796600197153.16,0.58,baseline,14,Default parameters
0.030680143688429005,0.023969051668026955,0.71,1.8653872665685456,0.0,349.15748014569505,348.005015375526,77.0,1170558491873.4465,953895203162.0242,1.0,1.0,71254182377018.47,0.62,baseline,15,Default parameters
0.03244848874436344,0.02530493269818449,0.86,1.8814060904238579,0.0,368.66586010969803,349.73175025359365,73.0,1279915611412.9905,1035576395264.2313,1.0,1.0,76455940168307.44,0.55,baseline,16,Default parameters
0.03385793273466212,0.02449830025387347,0.77,1.8772260622021824,0.0,360.8779283277685,348.97115813170484,74.0,1266836072896.2397,1028702472181.5964,1.0,1.0,73649091678549.22,0.62,baseline,17,Default parameters
0.03345402995186414,0.025017258105357,0.81,1.8851830589833334,0.0,374.1818943562925,347.85329863301274,75.0,1424513793753.2288,1161416068377.66,1.0,1.0,76174922609767.86,0.61,baseline,18,Default parameters
0.03176526337042389,0.02497816585155981,0.8,1.8786549150495986,0.0,366.1793187216766,348.6739918608602,71.0,1412147456314.0444,1150214121056.671,1.0,1.0,79289959133306.47,0.64,baseline,19,Default parameters
0.03,0.024714774992589752,0.81,1.8830482579776264,0.0,367.1702100219139,348.725675016375,76.0,1303516616899.4395,1067813168119.6375,1.0,1.0,73476574734682.05,0.59,baseline,20,Default parameters
0.03491616301394229,0.0243642981433341,0.71,1.884354707552524,0.0,365.2800604787236,348.1035366207113,75.0,1157805814263.368,967035659892.2582,1.0,1.0,70716453084504.34,0.61,baseline,21,Default parameters
0.034263285235093345,0.026419682597445898,0.96,1.8899845084292535,0.0,374.7033101076334,348.63102851242036,72.0,1303570276101.3904,1032203465932.4927,1.0,1.0,68630862766574.37,0.58,baseline,22,Default parameters
0.03251887182889248,0.02366169451997145,0.69,1.887173588718586,0.0,368.9359814611267,348.7545973319875,77.0,1160388542911.0283,945910756790.6083,1.0,1.0,71200545332911.53,0.6,baseline,23,Default parameters
0.03255187737641104,0.025233972730489024,0.87,1.8709383399033968,0.0,361.67711062530736,348.9199112929798,74.0,1535299746207.8833,1200420819242.0522,1.0,1.0,80399035581022.94,0.59,baseline,24,Default parameters
0.03265347812813979,0.02526766355728667,0.81,1.8654604145525324,0.0,353.88542344518515,349.5778518313207,74.0,1414665281318.0706,1134891611618.7341,1.0,1.0,77302447227238.94,0.58,baseline,25,Default parameters
0.03185159061886826,0.02542262600622177,0.89,1.8793793988995187,0.0,363.3365832249312,347.73558243327363,76.0,1273796636756.6758,1051513700652.6946,1.0,1.0,74372834620381.95,0.6,baseline,26,Default parameters
0.03272231120701451,0.025526314962784492,0.88,1.8809021131208552,0.0,363.2191781556404,348.59426855648024,74.0,1262077534598.0393,1046603732229.739,1.0,1.0,71664696676525.0,0.59,baseline,27,Default parameters
0.03083669768231808,0.024389573671843922,0.74,1.8897748472958227,0.0,369.9390254551033,348.8680857091478,78.0,1052547760208.6556,873149180548.4283,1.0,1.0,71272496886564.2,0.64,baseline,28,Default parameters
0.035342729358998515,0.02473911376741161,0.84,1.8805084730780313,0.0,364.282178914003,349.50260658224676,74.0,1271153628589.9832,1030663854694.8842,1.0,1.0,73903286043158.39,0.58,baseline,29,Default parameters
